area_id,total,daytype_inweek,daytype_weekend,hod_00h,hod_01h,hod_02h,hod_03h,hod_04h,hod_05h,hod_06h,hod_07h,hod_08h,hod_09h,hod_10h,hod_11h,hod_12h,hod_13h,hod_14h,hod_15h,hod_16h,hod_17h,hod_18h,hod_19h,hod_20h,hod_21h,hod_22h,hod_23h,dow_mon,dow_tue,dow_wed,dow_thu,dow_fri,dow_sat,dow_sun
E02002867,940.964285714,5049.25,1687.0,3.82142857143,3.67857142857,3.53571428571,3.32142857143,3.53571428571,6.67857142857,12.0714285714,35.6428571429,54.75,58.1785714286,59.2142857143,58.0714285714,64.9642857143,66.2857142857,64.4642857143,63.5,64.3928571429,70.75,58.3214285714,51.1071428571,42.3928571429,37.4642857143,34.8571428571,19.9642857143,958.5,1030.0,1264.0,926.75,870.0,809.0,728.5
E02002864,315.642857143,1680.75,557.0,0.75,0.714285714286,0.785714285714,0.75,0.357142857143,2.28571428571,3.28571428571,10.3571428571,18.2857142857,17.8571428571,19.5357142857,20.3928571429,22.1428571429,22.5357142857,22.75,21.8571428571,22.4642857143,21.9642857143,18.8571428571,15.6071428571,14.8928571429,15.0,14.4285714286,7.78571428571,317.5,357.25,400.25,308.0,297.75,289.25,239.5
E02002865,468.214285714,2493.0,823.75,1.57142857143,0.964285714286,0.928571428571,0.75,0.75,1.78571428571,4.28571428571,16.0714285714,29.3928571429,28.1785714286,32.2857142857,32.1071428571,32.0357142857,31.75,32.0714285714,30.5714285714,31.1785714286,30.5357142857,26.5,23.1071428571,21.6071428571,22.5357142857,22.1071428571,15.1428571429,462.75,507.75,597.0,462.5,463.0,423.5,361.0
E02002866,882.0,4719.75,1575.5,3.25,2.60714285714,2.85714285714,2.25,3.32142857143,5.03571428571,13.0714285714,31.0,46.2857142857,52.8571428571,56.8571428571,57.1071428571,60.5714285714,60.5714285714,62.5,61.75,63.1428571429,67.0,55.5,47.5714285714,40.0714285714,36.2857142857,31.2857142857,19.25,907.0,936.25,1183.75,879.5,813.25,785.75,668.5
E02002863,1012.82142857,5438.75,1793.0,3.5,2.89285714286,3.53571428571,2.53571428571,3.39285714286,5.53571428571,17.1785714286,40.5714285714,57.3571428571,63.7142857143,68.5357142857,74.5714285714,76.5714285714,73.5357142857,71.9285714286,72.0714285714,68.5357142857,67.2142857143,58.1428571429,49.3214285714,42.3928571429,37.25,32.8571428571,19.6785714286,1056.0,1140.75,1339.0,982.5,920.5,914.0,737.0
