zone_id,origin_area_id,destination_area_id,total,daytype_inweek,daytype_weekend,hod_00h,hod_01h,hod_02h,hod_03h,hod_04h,hod_05h,hod_06h,hod_07h,hod_08h,hod_09h,hod_10h,hod_11h,hod_12h,hod_13h,hod_14h,hod_15h,hod_16h,hod_17h,hod_18h,hod_19h,hod_20h,hod_21h,hod_22h,hod_23h,dow_mon,dow_tue,dow_wed,dow_thu,dow_fri,dow_sat,dow_sun
E08000002,E02001039,E02001030,12.3214285714,63.75,19.25,0.0357142857143,0.0714285714286,0.0357142857143,0.0,0.0,0.0714285714286,0.571428571429,0.178571428571,1.07142857143,0.464285714286,0.535714285714,0.642857142857,0.928571428571,1.03571428571,0.714285714286,1.03571428571,0.678571428571,0.964285714286,1.32142857143,0.714285714286,0.464285714286,0.5,0.142857142857,0.142857142857,9.25,10.5,18.5,12.5,13.0,12.5,10.0
E08000002,E02001042,E02001030,7.5,39.75,11.0,0.107142857143,0.0,0.0357142857143,0.0,0.0,0.0357142857143,0.107142857143,0.178571428571,0.25,0.178571428571,0.321428571429,0.357142857143,0.464285714286,0.571428571429,0.678571428571,0.642857142857,0.821428571429,0.464285714286,0.464285714286,0.785714285714,0.464285714286,0.25,0.178571428571,0.142857142857,4.5,10.25,11.0,7.75,6.25,6.25,6.5
E08000002,E02001020,E02001030,13.7142857143,77.75,22.25,0.178571428571,0.0,0.0,0.0,0.0,0.0357142857143,0.5,1.10714285714,0.892857142857,0.857142857143,0.857142857143,0.785714285714,0.75,0.892857142857,0.642857142857,0.678571428571,0.928571428571,1.17857142857,0.892857142857,1.0,0.642857142857,0.5,0.214285714286,0.178571428571,14.75,16.0,19.25,11.75,16.0,10.75,7.5
E08000002,E02001038,E02001030,17.6428571429,94.0,27.75,0.107142857143,0.0714285714286,0.0714285714286,0.0357142857143,0.0357142857143,0.357142857143,0.107142857143,0.214285714286,1.14285714286,0.714285714286,0.928571428571,1.10714285714,1.21428571429,1.32142857143,1.21428571429,0.964285714286,1.10714285714,1.60714285714,1.32142857143,1.39285714286,0.607142857143,1.21428571429,0.392857142857,0.392857142857,15.0,21.25,20.5,16.25,21.0,16.75,12.75
E08000002,E02001021,E02001030,18.2142857143,95.5,29.75,0.0,0.107142857143,0.0,0.0357142857143,0.0,0.0714285714286,0.428571428571,0.357142857143,0.821428571429,1.21428571429,1.21428571429,1.28571428571,1.17857142857,0.857142857143,1.14285714286,1.25,1.60714285714,1.07142857143,1.78571428571,1.5,1.07142857143,0.678571428571,0.285714285714,0.25,17.25,15.75,22.5,20.5,19.5,19.5,12.5
E08000002,E02001034,E02001030,26.6785714286,142.0,45.25,0.214285714286,0.25,0.142857142857,0.0357142857143,0.0357142857143,0.642857142857,0.285714285714,0.321428571429,0.535714285714,0.821428571429,1.39285714286,1.71428571429,2.03571428571,1.71428571429,2.53571428571,2.03571428571,2.14285714286,2.46428571429,1.92857142857,1.46428571429,1.85714285714,0.857142857143,0.714285714286,0.535714285714,27.0,25.0,35.75,24.0,30.25,26.5,18.25
E08000002,E02001028,E02001030,17.5357142857,93.0,28.75,0.142857142857,0.142857142857,0.214285714286,0.0714285714286,0.0357142857143,0.0,0.0357142857143,0.964285714286,0.857142857143,0.678571428571,0.964285714286,1.21428571429,0.857142857143,1.0,1.32142857143,1.28571428571,1.28571428571,2.14285714286,0.928571428571,1.21428571429,1.21428571429,0.607142857143,0.178571428571,0.178571428571,16.25,21.0,23.5,16.0,16.25,17.25,12.5
E08000002,E02001036,E02001030,13.9285714286,73.75,22.25,0.107142857143,0.178571428571,0.0,0.0,0.0,0.107142857143,0.0714285714286,0.178571428571,0.607142857143,0.5,1.21428571429,0.857142857143,0.75,1.0,1.03571428571,0.928571428571,1.21428571429,0.714285714286,0.714285714286,1.42857142857,0.857142857143,0.714285714286,0.357142857143,0.392857142857,12.25,13.75,17.5,17.0,13.25,13.75,10.0
E08000002,E02001023,E02001030,19.75,101.0,34.0,0.0714285714286,0.0714285714286,0.107142857143,0.107142857143,0.0714285714286,0.0357142857143,0.142857142857,1.35714285714,0.75,1.25,1.64285714286,1.60714285714,1.14285714286,1.71428571429,1.39285714286,1.39285714286,1.21428571429,1.5,0.964285714286,1.28571428571,0.75,0.392857142857,0.357142857143,0.428571428571,18.25,20.0,23.5,16.75,22.5,21.5,15.75
E08000002,E02001040,E02001030,13.0714285714,65.25,24.0,0.107142857143,0.0,0.0714285714286,0.0357142857143,0.0,0.0357142857143,0.285714285714,0.107142857143,0.392857142857,0.571428571429,0.857142857143,0.571428571429,0.75,0.714285714286,0.714285714286,1.17857142857,1.32142857143,0.964285714286,1.17857142857,1.17857142857,0.821428571429,0.535714285714,0.392857142857,0.285714285714,12.0,14.75,16.25,10.25,12.0,14.25,12.0
