area_id,total,daytype_inweek,daytype_weekend,hod_00h,hod_01h,hod_02h,hod_03h,hod_04h,hod_05h,hod_06h,hod_07h,hod_08h,hod_09h,hod_10h,hod_11h,hod_12h,hod_13h,hod_14h,hod_15h,hod_16h,hod_17h,hod_18h,hod_19h,hod_20h,hod_21h,hod_22h,hod_23h,dow_mon,dow_tue,dow_wed,dow_thu,dow_fri,dow_sat,dow_sun
6153,0.285714285714,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857143,0.0714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857143,0.0357142857143,0.0357142857143,0.0714285714286,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.75
6128,0.107142857143,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857143,0.0357142857143,0.0,0.0357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0
6122,2.78571428571,16.75,5.25,0.107142857143,0.0,0.0,0.0357142857143,0.0357142857143,0.0714285714286,0.321428571429,0.357142857143,0.285714285714,0.142857142857,0.107142857143,0.214285714286,0.178571428571,0.107142857143,0.107142857143,0.107142857143,0.0714285714286,0.0,0.0,0.107142857143,0.25,0.107142857143,0.0,0.0714285714286,3.25,2.0,3.0,4.5,4.0,0.75,2.0
6070,0.928571428571,4.5,1.5,0.0,0.0,0.0,0.0,0.0357142857143,0.0357142857143,0.0714285714286,0.142857142857,0.0357142857143,0.107142857143,0.0357142857143,0.0357142857143,0.0357142857143,0.0,0.0357142857143,0.0357142857143,0.142857142857,0.107142857143,0.0,0.0,0.0,0.0357142857143,0.0357142857143,0.0,0.75,0.75,1.25,0.75,1.0,1.25,0.75
6019,115.714285714,583.0,209.0,1.78571428571,1.35714285714,1.60714285714,1.46428571429,2.57142857143,1.85714285714,2.60714285714,3.92857142857,5.25,6.21428571429,6.60714285714,7.57142857143,8.0,6.82142857143,6.03571428571,4.07142857143,2.67857142857,3.14285714286,5.67857142857,7.57142857143,10.5357142857,8.67857142857,5.75,3.92857142857,109.75,114.25,134.25,110.0,114.75,127.75,99.25
6015,7.46428571429,38.75,13.25,0.0,0.107142857143,0.0357142857143,0.0357142857143,0.0357142857143,0.0357142857143,0.107142857143,0.321428571429,0.321428571429,0.142857142857,0.25,0.678571428571,0.75,0.714285714286,0.75,0.428571428571,0.5,0.571428571429,0.571428571429,0.392857142857,0.5,0.142857142857,0.0714285714286,0.0,7.0,6.25,11.0,6.0,8.5,7.25,6.25
6083,2.32142857143,12.25,2.5,0.0,0.0714285714286,0.0,0.0357142857143,0.0,0.0,0.0,0.178571428571,0.142857142857,0.142857142857,0.0357142857143,0.107142857143,0.178571428571,0.25,0.107142857143,0.214285714286,0.0714285714286,0.107142857143,0.0714285714286,0.178571428571,0.178571428571,0.107142857143,0.142857142857,0.0,1.5,2.75,4.5,1.75,1.75,3.0,1.0
6011,1.21428571429,6.5,1.5,0.107142857143,0.0,0.0357142857143,0.0,0.0,0.0357142857143,0.107142857143,0.142857142857,0.142857142857,0.0357142857143,0.0357142857143,0.0,0.0714285714286,0.0357142857143,0.0,0.0,0.0714285714286,0.107142857143,0.0714285714286,0.0,0.107142857143,0.0357142857143,0.0714285714286,0.0,1.25,2.0,1.0,1.75,0.5,1.75,0.25
6074,94.0357142857,506.75,154.5,1.39285714286,0.928571428571,0.928571428571,0.357142857143,0.928571428571,0.535714285714,1.57142857143,3.0,4.14285714286,4.60714285714,6.42857142857,7.78571428571,8.14285714286,7.10714285714,7.10714285714,4.71428571429,2.78571428571,3.28571428571,4.10714285714,5.53571428571,6.82142857143,5.89285714286,4.25,1.67857142857,90.25,102.75,136.25,80.75,96.75,87.25,64.25
6072,0.107142857143,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857143,0.0357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25
