area_id,total,daytype_inweek,daytype_weekend,hod_00h,hod_01h,hod_02h,hod_03h,hod_04h,hod_05h,hod_06h,hod_07h,hod_08h,hod_09h,hod_10h,hod_11h,hod_12h,hod_13h,hod_14h,hod_15h,hod_16h,hod_17h,hod_18h,hod_19h,hod_20h,hod_21h,hod_22h,hod_23h,dow_mon,dow_tue,dow_wed,dow_thu,dow_fri,dow_sat,dow_sun
E09000033,293.964285714,1667.75,431.5,0.107142857143,0.178571428571,0.214285714286,0.428571428571,6.10714285714,21.25,44.4285714286,46.7857142857,25.4642857143,25.5714285714,27.0714285714,13.3928571429,11.0714285714,9.92857142857,7.96428571429,9.32142857143,11.2857142857,10.2857142857,6.57142857143,5.39285714286,4.96428571429,3.07142857143,2.92857142857,0.178571428571,273.25,333.0,433.25,329.75,298.5,231.75,158.25
E06000046,6.57142857143,36.75,10.75,0.0,0.0714285714286,0.0,0.0,0.178571428571,0.178571428571,0.25,0.214285714286,0.428571428571,0.214285714286,0.464285714286,0.428571428571,0.357142857143,0.392857142857,0.5,0.428571428571,0.785714285714,0.285714285714,0.464285714286,0.25,0.321428571429,0.142857142857,0.142857142857,0.0714285714286,7.25,8.25,6.75,7.0,7.5,5.75,3.5
E07000136,1.07142857143,5.25,1.75,0.0,0.0357142857143,0.0357142857143,0.0,0.0,0.0357142857143,0.0,0.0,0.0357142857143,0.0714285714286,0.142857142857,0.0357142857143,0.0357142857143,0.107142857143,0.0714285714286,0.214285714286,0.0357142857143,0.0357142857143,0.0714285714286,0.0714285714286,0.0,0.0357142857143,0.0,0.0,0.75,0.25,2.25,0.5,1.5,1.25,1.0
S12000040,4.17857142857,25.0,7.75,0.0,0.0714285714286,0.0357142857143,0.0357142857143,0.0,0.0357142857143,0.0357142857143,0.0357142857143,0.0714285714286,0.0714285714286,0.0,0.0714285714286,0.107142857143,0.25,0.464285714286,0.535714285714,0.464285714286,0.642857142857,0.464285714286,0.285714285714,0.0357142857143,0.178571428571,0.178571428571,0.107142857143,5.0,5.0,5.25,4.75,5.0,1.5,2.75
E08000015,8.42857142857,45.75,20.25,0.142857142857,0.0357142857143,0.0357142857143,0.0714285714286,0.0357142857143,0.0714285714286,0.0357142857143,0.107142857143,0.0714285714286,0.178571428571,0.25,0.214285714286,0.678571428571,0.607142857143,0.5,0.571428571429,1.10714285714,1.39285714286,0.678571428571,0.25,0.357142857143,0.357142857143,0.392857142857,0.285714285714,10.5,6.0,11.25,7.25,10.75,3.5,9.75
E07000125,1.96428571429,11.75,2.5,0.0357142857143,0.0357142857143,0.0,0.0357142857143,0.0,0.0357142857143,0.0357142857143,0.0357142857143,0.0,0.0,0.0357142857143,0.0357142857143,0.142857142857,0.178571428571,0.214285714286,0.0714285714286,0.0357142857143,0.25,0.428571428571,0.0714285714286,0.107142857143,0.0357142857143,0.0357142857143,0.107142857143,1.25,0.75,4.0,2.75,3.0,0.75,1.25
E06000026,5.46428571429,27.75,12.0,0.0,0.0714285714286,0.0,0.0,0.142857142857,0.0714285714286,0.107142857143,0.178571428571,0.142857142857,0.107142857143,0.214285714286,0.357142857143,0.357142857143,0.428571428571,0.464285714286,0.214285714286,0.75,0.357142857143,0.535714285714,0.321428571429,0.107142857143,0.25,0.142857142857,0.142857142857,4.75,5.0,6.5,4.25,7.25,3.25,7.25
E07000211,72.5,363.0,150.75,0.214285714286,0.75,0.857142857143,0.857142857143,1.46428571429,2.64285714286,2.96428571429,4.21428571429,3.67857142857,4.57142857143,4.28571428571,4.67857142857,3.42857142857,3.60714285714,4.60714285714,4.71428571429,7.21428571429,4.57142857143,3.96428571429,3.17857142857,1.89285714286,1.85714285714,1.53571428571,0.75,74.25,65.25,84.25,67.0,72.25,68.0,76.5
E09000014,41.2857142857,186.0,92.75,0.107142857143,0.178571428571,0.142857142857,0.0,0.607142857143,2.21428571429,0.821428571429,1.78571428571,2.28571428571,1.92857142857,1.5,1.92857142857,1.53571428571,1.71428571429,2.35714285714,2.64285714286,3.35714285714,3.92857142857,3.39285714286,3.46428571429,2.32142857143,1.67857142857,0.964285714286,0.428571428571,43.0,33.5,44.75,32.5,32.25,53.25,49.75
E07000051,3.82142857143,21.25,7.25,0.0,0.0357142857143,0.0357142857143,0.0,0.0357142857143,0.142857142857,0.142857142857,0.285714285714,0.0357142857143,0.178571428571,0.428571428571,0.428571428571,0.178571428571,0.25,0.214285714286,0.285714285714,0.107142857143,0.142857142857,0.285714285714,0.142857142857,0.178571428571,0.142857142857,0.107142857143,0.0357142857143,5.0,2.25,3.5,2.0,8.5,3.25,2.25
E07000196,1.96428571429,9.75,4.25,0.0,0.0,0.0357142857143,0.0,0.107142857143,0.0,0.0357142857143,0.0357142857143,0.0357142857143,0.107142857143,0.178571428571,0.214285714286,0.142857142857,0.142857142857,0.25,0.107142857143,0.0357142857143,0.142857142857,0.107142857143,0.142857142857,0.0,0.0714285714286,0.0714285714286,0.0,2.25,2.0,1.5,2.0,2.0,2.0,2.0
E06000041,15.2857142857,76.0,32.25,0.0,0.214285714286,0.0357142857143,0.0357142857143,0.357142857143,0.678571428571,0.678571428571,0.5,0.714285714286,1.03571428571,0.857142857143,0.714285714286,0.75,0.892857142857,1.03571428571,1.42857142857,0.928571428571,1.39285714286,0.678571428571,0.857142857143,0.571428571429,0.25,0.571428571429,0.107142857143,14.0,14.75,19.5,12.25,15.5,12.75,18.25
E07000223,7.67857142857,41.25,14.25,0.0,0.0357142857143,0.0,0.0,0.214285714286,0.142857142857,0.75,0.357142857143,0.357142857143,0.321428571429,0.428571428571,0.678571428571,0.285714285714,0.535714285714,0.5,0.678571428571,0.714285714286,0.357142857143,0.392857142857,0.178571428571,0.285714285714,0.178571428571,0.142857142857,0.142857142857,7.75,6.25,11.25,6.75,9.25,6.0,6.5
