objectid,lad16cd,lad16nm,lad16nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,population,households,single,double,treble,quadruple,quintuple_plus,household_size
41,E06000041,Wokingham,Wokingham,476624,169902,-0.89934999,51.42295837,179707145.6,80125.62045,151740,60332,14084,21502,10094,10397,21502,2.5
42,E06000042,Milton Keynes,Milton Keynes,486408,242308,-0.74070001,52.07241058,308550107.7,93568.55345,246715,98584,25546,32859,17221,14896,32859,2.5
43,E06000043,Brighton and Hove,Brighton and Hove,530279,106849,-0.15079001,50.84648895,82903137.11,53956.4624,266059,121540,44294,39817,17285,13244,39817,2.2
44,E06000044,Portsmouth,Portsmouth,465607,101357,-1.07023001,50.80804825,40653124.7,50970.27009,200052,85473,27471,27470,13514,10686,27470,2.3
45,E06000045,Southampton,Southampton,442253,113608,-1.40024996,50.92037964,50490522.18,43734.45208,228459,98254,33241,31029,14638,11705,31029,2.3
46,E06000046,Isle of Wight,Isle of Wight,447186,85950,-1.33361995,50.67129898,380472816.5,144954.4722,133713,61085,19957,23439,8333,6208,23439,2.2
47,E06000047,County Durham,County Durham,410381,532242,-1.8405,54.68513107,2232079577,281123.8644,500288,223803,70007,80984,36607,26074,80984,2.2
48,E06000049,Cheshire East,Cheshire East,380510,363462,-2.29298997,53.1679306,1168829443,256709.564,365065,159441,47328,57990,25266,20969,57990,2.3
49,E06000050,Cheshire West and Chester,Cheshire West and Chester,353097,363145,-2.70298004,53.1633606,914411387.2,248558.8988,326236,141442,41841,51108,22381,18383,51108,2.3
50,E06000051,Shropshire,Shropshire,350227,302960,-2.73667002,52.6221199,3196283326,507067.9333,298183,129674,37540,49377,19083,16308,49377,2.3
51,E06000052,Cornwall,Cornwall,212501,64494,-4.64248991,50.45022964,3551185066,790566.1452,523432,230389,69269,87823,33313,26863,87823,2.3
52,E06000053,Isles of Scilly,Isles of Scilly,91327,11447,-6.3021698,49.92332077,15775826.83,69054.6339,2123,989,336,378,122,114,378,2.1
53,E06000054,Wiltshire,Wiltshire,405209,158863,-1.92660999,51.32883072,3255509302,367789.772,457954,194194,51845,74250,30011,26671,74250,2.4
54,E06000055,Bedford,Bedford,505721,256463,-0.45462999,52.19628143,475130655.2,122777.2417,154536,63812,18396,21264,10534,8697,21264,2.4
