objectid,lad16cd,lad16nm,lad16nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,population,households,single,double,treble,quadruple,quintuple_plus,household_size
180,E07000151,Daventry,Daventry,467286,268437,-1.01446998,52.30994034,665202944.2,154594.3245,75886,31647,7953,12207,5001,4526,12207,2.4
181,E07000152,East Northamptonshire,East Northamptonshire,501344,287839,-0.50919998,52.47909164,509599864,146440.3952,84910,35662,9134,13821,5562,5045,13821,2.4
182,E07000153,Kettering,Kettering,483866,282852,-0.76773,52.43722916,235322919.8,84167.55352,92521,39701,11503,14375,6219,5294,14375,2.3
183,E07000154,Northampton,Northampton,476495,260539,-0.88121003,52.23775101,80597831.39,41431.20361,208463,88731,27048,30203,14010,11283,30203,2.3
184,E07000155,South Northamptonshire,South Northamptonshire,463000,247077,-1.08129001,52.11843872,634545898.6,198300.1247,84497,34717,8264,13398,5528,5433,13398,2.4
185,E07000156,Wellingborough,Wellingborough,487787,266827,-0.71425003,52.29257965,163491650,62677.02727,74583,32057,9502,11405,5065,4122,11405,2.3
186,E07000163,Craven,Craven,389514,461989,-2.16165996,54.05376053,1178385955,186302.1646,54375,24583,7651,9691,3329,2696,9691,2.2
187,E07000164,Hambleton,Hambleton,443009,490546,-1.34048998,54.30871964,1313063452,272446.3469,87321,38117,10679,14896,5811,4819,14896,2.3
188,E07000165,Harrogate,Harrogate,427473,464652,-1.58160996,54.07707977,1308358902,227761.9719,153821,67169,19340,25628,10051,8750,25628,2.3
189,E07000166,Richmondshire,Richmondshire,401039,495786,-1.98552001,54.3576088,1317556037,206884.9935,47344,20207,5239,8116,2996,2724,8116,2.3
190,E07000167,Ryedale,Ryedale,475590,478890,-0.84276998,54.20021057,1505277060,230408.1449,50611,22524,6546,9149,3122,2553,9149,2.2
191,E07000168,Scarborough,Scarborough,495797,495547,-0.52780002,54.34648895,817957887.5,216375.4542,106427,49435,16966,18655,6616,4817,18655,2.2
192,E07000169,Selby,Selby,457551,426670,-1.12908006,53.73326874,600793245.2,179282.4208,82725,34559,8533,13330,5875,4897,13330,2.4
193,E07000170,Ashfield,Ashfield,450035,355843,-1.25422001,53.09746933,110122768.3,61286.53191,118213,50931,14278,18853,8669,6429,18853,2.3
194,E07000171,Bassetlaw,Bassetlaw,468073,384835,-0.97869998,53.35604095,638728375.4,144965.8413,109979,47667,13367,18100,7683,6051,18100,2.3
195,E07000172,Broxtowe,Broxtowe,449829,341893,-1.25943995,52.9720993,80722192.59,56576.45594,108570,46820,13083,17509,7643,6194,17509,2.3
196,E07000173,Gedling,Gedling,459184,347811,-1.11907005,53.02434158,119880203.6,63014.3612,112759,49349,14641,18186,7835,6123,18186,2.3
197,E07000174,Mansfield,Mansfield,455047,363637,-1.17804003,53.16703033,76060650,47192.90208,103487,44928,13098,16302,7598,5570,16302,2.3
198,E07000175,Newark and Sherwood,Newark and Sherwood,470624,357451,-0.94643003,53.10960007,651829292,166954.2108,112526,48773,13842,18563,7555,6113,18563,2.3
199,E07000176,Rushcliffe,Rushcliffe,466606,335453,-1.01097,52.91239929,408875608.2,111749.0136,108804,45835,12464,16956,6889,6848,16956,2.4
200,E07000177,Cherwell,Cherwell,449301,221201,-1.28506005,51.8871994,587735565.5,198883.838,138916,56728,14307,20587,9470,8549,20587,2.4
201,E07000178,Oxford,Oxford,452277,206368,-1.24405003,51.75357056,45411144.61,31762.57979,133241,55375,18316,16341,8555,7316,16341,2.4
202,E07000179,South Oxfordshire,South Oxfordshire,463890,191964,-1.07846999,51.62287903,679081423,183733.0038,131483,54104,13734,19966,8390,8586,19966,2.4
203,E07000180,Vale of White Horse,Vale of White Horse,435693,195197,-1.48543,51.65443039,579879108,153766.524,118044,49407,13065,18258,7933,7177,18258,2.4
204,E07000181,West Oxfordshire,West Oxfordshire,434343,215816,-1.50292003,51.83990097,714319032.6,141044.6325,102415,43241,11412,16431,6755,6153,16431,2.4
205,E07000187,Mendip,Mendip,362238,144090,-2.54177999,51.19475937,739464203.5,177034.3761,106031,46157,13809,17069,6711,5835,17069,2.3
206,E07000188,Sedgemoor,Sedgemoor,338426,143997,-2.88250995,51.19184875,564458056.2,203929.6742,113056,48801,13844,18714,7221,6107,18714,2.3
207,E07000189,South Somerset,South Somerset,345633,120798,-2.7758801,50.98398972,958446663.5,210101.8039,157903,69501,20491,26957,9912,8346,26957,2.3
208,E07000190,Taunton Deane,Taunton Deane,318327,123470,-3.16542006,51.00479126,463424644.3,140904.6843,106852,46907,14181,17397,6934,5858,17397,2.3
209,E07000191,West Somerset,West Somerset,294768,136702,-3.50494003,51.11989975,728232890.3,162174.8745,33282,15623,5212,6432,1824,1404,6432,2.1
210,E07000192,Cannock Chase,Cannock Chase,401261,311553,-1.98276997,52.70166016,78903110.02,45738.23636,96791,40664,10940,14547,7095,5748,14547,2.4
211,E07000193,East Staffordshire,East Staffordshire,412601,326569,-1.81438005,52.8365097,390185964.9,156661.6079,111488,47251,13823,16652,7561,6031,16652,2.4
212,E07000194,Lichfield,Lichfield,416283,310967,-1.76048994,52.69615173,331570250.3,112606.9617,98893,41224,10024,16234,6754,5776,16234,2.4
213,E07000195,Newcastle-under-Lyme,Newcastle-under-Lyme,378199,345174,-2.32630992,53.00344849,211449272.9,93484.43597,119708,52574,16236,18512,8564,6513,18512,2.3
214,E07000196,South Staffordshire,South Staffordshire,389625,311037,-2.1549499,52.69691849,407906940.4,165642.6352,106157,44458,11239,16981,7213,6581,16981,2.4
215,E07000197,Stafford,Stafford,389001,327836,-2.1647501,52.84791946,597946208.8,140309.2845,127609,55703,16236,20827,8638,7147,20827,2.3
216,E07000198,Staffordshire Moorlands,Staffordshire Moorlands,400543,352443,-1.99334002,53.06924057,577099803.2,128258.4585,95860,41772,11747,16101,6497,5398,16101,2.3
217,E07000199,Tamworth,Tamworth,421455,302550,-1.68450999,52.62031174,31059261.89,27862.88582,76446,31617,8246,11227,5591,4548,11227,2.4
218,E07000200,Babergh,Babergh,599994,244657,0.91623098,52.06417847,595855125.8,155791.4791,86170,37522,10570,14748,5383,4764,14748,2.3
219,E07000201,Forest Heath,Forest Heath,572316,273586,0.52760601,52.33330917,377737215.6,133731.5408,58175,25376,7238,9669,4082,3034,9669,2.3
220,E07000202,Ipswich,Ipswich,616954,244670,1.16326702,52.05791855,39371862.65,35479.97594,131262,57298,18507,19242,9036,6959,19242,2.3
221,E07000203,Mid Suffolk,Mid Suffolk,611646,262338,1.09695303,52.21858978,869544744.7,169944.6429,95254,40306,10219,16364,5757,5599,16364,2.4
222,E07000204,St Edmundsbury,St Edmundsbury,582672,265927,0.675273,52.26118088,657477244.3,178214.6526,107942,45802,12089,17756,7094,6154,17756,2.4
223,E07000205,Suffolk Coastal,Suffolk Coastal,633247,258767,1.41014194,52.17782974,892757649.3,301097.8577,121791,53558,15645,21198,7024,6759,21198,2.3
224,E07000206,Waveney,Waveney,642301,287890,1.56323695,52.43524933,368570914.9,132508.8074,113519,50883,15745,19925,6812,5650,19925,2.2
225,E07000207,Elmbridge,Elmbridge,511882,163658,-0.39441001,51.36098099,96235543.2,45986.22362,129483,52922,14568,17450,8221,9102,17450,2.4
226,E07000208,Epsom and Ewell,Epsom and Ewell,521176,161475,-0.26172,51.33945084,34143546.04,26547.73408,74026,29784,7730,9843,4975,5168,9843,2.5
227,E07000209,Guildford,Guildford,500408,151481,-0.56256998,51.25365829,271688112.1,110501.2004,130920,53973,14422,18900,8678,8372,18900,2.4
228,E07000210,Mole Valley,Mole Valley,518377,148953,-0.30603001,51.22748947,257592608.1,91855.49063,83985,35828,10477,12732,5302,5139,12732,2.3
229,E07000211,Reigate and Banstead,Reigate and Banstead,525786,152574,-0.19870999,51.258461,128936651.6,68378.63607,134346,55423,15163,18958,8866,8777,18958,2.4
230,E07000212,Runnymede,Runnymede,501777,166979,-0.53855002,51.39273071,78143648.85,41158.26498,77346,32714,9836,10892,5156,4705,10892,2.4
231,E07000213,Spelthorne,Spelthorne,507012,169622,-0.46254,51.41551971,50580779.13,38841.22669,94837,39512,11262,13154,6677,5805,13154,2.4
232,E07000214,Surrey Heath,Surrey Heath,491362,160483,-0.68985999,51.33610153,95166678.31,48570.90326,84440,33546,7867,11953,5533,5771,11953,2.5
233,E07000215,Tandridge,Tandridge,536365,150325,-0.04805,51.23580933,248717822.7,74506.58264,80916,33342,8909,11809,5118,5272,11809,2.4
234,E07000216,Waverley,Waverley,496363,140635,-0.62343001,51.15686035,345322749.7,110932.0552,117219,49280,13698,17801,7437,7145,17801,2.4
235,E07000217,Woking,Woking,499087,157542,-0.57981998,51.30836868,63690359.16,44242.05577,98282,39467,10499,13130,6450,6280,13130,2.5
236,E07000218,North Warwickshire,North Warwickshire,425570,296399,-1.62419999,52.56483841,284001010.6,102775.0919,61468,25812,6776,9581,4338,3590,9581,2.4
237,E07000219,Nuneaton and Bedworth,Nuneaton and Bedworth,435419,289352,-1.47965002,52.50093842,78202225.4,43224.44677,124410,52711,15090,18326,9002,7034,18326,2.4
238,E07000220,Rugby,Rugby,446498,276244,-1.31827998,52.38227844,353504305.2,100953.4785,98180,41875,11784,15295,6727,5566,15295,2.3
239,E07000221,Stratford-on-Avon,Stratford-on-Avon,425019,251536,-1.63565004,52.16154099,977629048.4,230990.3793,118853,51928,14804,20139,7625,6764,20139,2.3
240,E07000222,Warwick,Warwick,428484,267113,-1.58369005,52.3014183,283629170.4,100695.1846,134590,58679,18600,20646,8406,7467,20646,2.3
241,E07000223,Adur,Adur,518065,106473,-0.32433,50.84572983,42459945.63,48382.99491,60424,26957,8553,9709,4126,3291,9709,2.2
242,E07000224,Arun,Arun,495145,105724,-0.64998001,50.84320831,221659778.2,119662.9207,145744,66706,22020,25331,8942,7162,25331,2.2
243,E07000225,Chichester,Chichester,490285,116600,-0.71630001,50.94176865,786524501.5,200939.7664,110837,49848,15948,18859,6551,5836,18859,2.2
244,E07000226,Crawley,Crawley,526390,137581,-0.19532999,51.12356949,44889212.56,35366.15636,105859,42727,12129,13275,7275,6482,13275,2.5
245,E07000227,Horsham,Horsham,513676,123839,-0.38123,51.00270844,530738236.2,143439.8463,128633,54923,15476,20234,8246,7898,20234,2.3
246,E07000228,Mid Sussex,Mid Sussex,533054,130623,-0.10272,51.05952835,333548353.2,118250.0711,137291,57409,15768,20325,9101,8678,20325,2.4
247,E07000229,Worthing,Worthing,512679,104948,-0.40127,50.83309937,32439322.07,26426.90469,102752,47044,16890,15807,6424,5565,15807,2.2
248,E07000234,Bromsgrove,Bromsgrove,399840,273736,-2.0037601,52.36169052,216624382.7,98906.28414,90833,38290,10041,14422,6062,5686,14422,2.4
249,E07000235,Malvern Hills,Malvern Hills,377465,252197,-2.33088994,52.16757965,578433122.3,203144.1123,72422,32212,9555,12754,4485,3754,12754,2.2
250,E07000236,Redditch,Redditch,403705,265253,-1.94710004,52.28541183,54543096.24,35900.85773,83745,34722,9282,12550,5709,4785,12550,2.4
251,E07000237,Worcester,Worcester,385725,255196,-2.2102499,52.1948204,33259846.28,26817.08185,96854,42042,13135,14583,6422,5341,14583,2.3
252,E07000238,Wychavon,Wychavon,398991,247839,-2.01613998,52.12886047,662753658.4,197988.4091,115545,49466,12886,19811,7496,6697,19811,2.3
253,E07000239,Wyre Forest,Wyre Forest,384106,276388,-2.23494005,52.38529968,196074415.7,88570.03463,96958,42985,12890,16289,6615,5067,16289,2.3
254,E07000100,St Albans,St Albans,514580,209623,-0.3407,51.77355957,161965217,67429.01726,139058,56140,14988,18843,8609,9494,18843,2.5
255,E07000104,Welwyn Hatfield,Welwyn Hatfield,525345,208467,-0.18517999,51.76087189,129829162.5,74691.59956,106830,43613,12533,13953,6878,6734,13953,2.4
256,E07000097,East Hertfordshire,East Hertfordshire,537995,220370,0.002739,51.86484909,475592268.7,120364.4027,135762,56577,15722,19415,8954,9026,19415,2.4
257,E07000101,Stevenage,Stevenage,524622,224531,-0.18987,51.90539169,26109583.68,24591.78196,83405,34898,10455,11019,6115,4908,11019,2.4
258,E08000001,Bolton,Bolton,368352,409873,-2.47952008,53.58449173,140450379.8,69914.99541,274855,116371,37091,37513,18430,14570,37513,2.4
259,E08000002,Bury,Bury,379658,410768,-2.30879998,53.5931015,99911697.2,61199.25968,183025,78113,24263,26003,12647,9981,26003,2.3
260,E08000003,Manchester,Manchester,384591,397063,-2.23358989,53.47008896,116221115.1,74661.40863,481030,204969,72255,61144,31456,21743,61144,2.3
261,E08000004,Oldham,Oldham,396603,406784,-2.0527401,53.55767822,141952813.1,64354.82761,223170,89703,26790,28033,15000,11280,28033,2.5
262,E08000005,Rochdale,Rochdale,390315,412326,-2.14784002,53.60741043,158454187.2,75169.11189,209552,87552,28183,27518,13687,10581,27518,2.4
263,E08000006,Salford,Salford,374556,398128,-2.38485003,53.47927094,96695812.21,58966.86381,228346,103556,37751,33517,15597,10567,33517,2.2
264,E08000007,Stockport,Stockport,391806,388264,-2.12467003,53.39115906,126028500.9,61371.1254,280915,121979,38535,41329,18868,16015,41329,2.3
265,E08000008,Tameside,Tameside,394987,397995,-2.0769999,53.47866821,102909524,47344.54146,217736,94953,31037,30941,15765,11470,30941,2.3
266,E08000009,Trafford,Trafford,375790,391162,-2.36572003,53.4167099,105982476.2,53821.51015,225277,94484,28179,31108,15335,13262,31108,2.4
267,E08000010,Wigan,Wigan,362136,402126,-2.57246995,53.51445007,187291441.6,76868.12459,315794,136386,40053,47498,23861,17953,47498,2.3
268,E08000011,Knowsley,Knowsley,344762,393778,-2.8329699,53.43788147,87529937.41,62864.05651,144990,61323,19041,18991,10794,8321,18991,2.4
269,E08000012,Liverpool,Liverpool,339361,390553,-2.91364002,53.40829849,110906199.8,56894.47878,450085,206515,80973,60213,30559,22422,60213,2.2
270,E08000013,St. Helens,St. Helens,353412,395992,-2.70309997,53.45861816,135492884.5,68703.04891,173958,75736,22694,26441,13094,9616,26441,2.3
271,E08000014,Sefton,Sefton,334264,398832,-2.99203992,53.48210144,152695544.4,100006.2367,269697,117930,37820,39735,18512,14948,39735,2.3
272,E08000015,Wirral,Wirral,329242,386937,-3.06502008,53.37453842,157739673.3,65394.92161,316384,140583,47329,46532,21818,16925,46532,2.3
273,E08000016,Barnsley,Barnsley,429979,403327,-1.54925001,53.52576828,328398334.9,114050.6091,229539,100734,29734,36871,16770,12530,36871,2.3
274,E08000017,Doncaster,Doncaster,459167,403735,-1.10894001,53.52696991,568975651.9,124584.328,297200,126487,36104,45170,20979,16425,45170,2.3
275,E08000018,Rotherham,Rotherham,447542,388980,-1.28650999,53.3955307,287359022.1,95511.36134,255334,108293,30902,38646,17826,14244,38646,2.4
276,E08000019,Sheffield,Sheffield,430511,389736,-1.54253995,53.40357971,367498051.4,119995.3187,539064,229928,73315,77370,33761,28316,77370,2.3
277,E08000021,Newcastle upon Tyne,Newcastle upon Tyne,422287,569662,-1.65296996,55.02101135,114420174.3,57897.52507,271212,117153,40337,36432,17610,13872,36432,2.3
278,E08000022,North Tyneside,North Tyneside,431471,570602,-1.50923002,55.02896118,82313413.26,53164.0179,199142,91295,30960,31879,14107,10722,31879,2.2
279,E08000023,South Tyneside,South Tyneside,435503,564057,-1.44695997,54.96987915,64680048.92,38417.36554,146729,67167,23459,22431,10798,7492,22431,2.2
280,E08000024,Sunderland,Sunderland,436470,551525,-1.43343997,54.85720062,138567238.6,76513.91821,271884,119758,38096,40549,20372,14665,40549,2.3
281,E08000025,Birmingham,Birmingham,408150,287352,-1.88141,52.48403931,267423283.7,94162.93528,1051366,410736,131200,115438,62424,50272,115438,2.6
282,E08000026,Coventry,Coventry,432807,279689,-1.51908004,52.41423035,98298728.63,47802.51611,307730,128592,40148,40638,20733,16646,40638,2.4
283,E08000027,Dudley,Dudley,393191,288584,-2.10171008,52.49512863,97283328.13,64475.85578,310398,129867,36652,45175,21746,17603,45175,2.4
284,E08000028,Sandwell,Sandwell,399573,290764,-2.00770998,52.51477051,85270648.27,51734.48113,305928,121498,35935,35998,20756,16496,35998,2.5
285,E08000029,Solihull,Solihull,419434,281483,-1.71557999,52.43099976,178367378.9,88779.92908,205087,86056,25102,29037,13668,12583,29037,2.4
286,E08000030,Walsall,Walsall,402098,300804,-1.97044003,52.60503006,104837483.8,53047.47768,267397,107822,30771,35208,17410,14457,35208,2.5
287,E08000031,Wolverhampton,Wolverhampton,391463,300016,-2.12746,52.59788132,69377247.79,46799.86195,245526,102177,32876,31053,16224,13054,31053,2.4
288,E08000032,Bradford,Bradford,408395,438626,-1.87389004,53.84381866,367283742.7,122330.943,515315,199296,58934,60941,29949,25313,60941,2.6
289,E08000033,Calderdale,Calderdale,402617,424896,-1.96182001,53.72048187,363640734.8,98956.33891,202376,88621,29023,30183,13197,10711,30183,2.3
290,E08000034,Kirklees,Kirklees,414586,416223,-1.78085005,53.64233017,408735978.9,111671.1753,416840,173525,52553,58412,26257,22372,58412,2.4
291,E08000035,Leeds,Leeds,432528,436384,-1.50735998,53.82273102,551441196,143058.5437,731373,320596,106739,108020,47243,37941,108020,2.3
292,E08000036,Wakefield,Wakefield,438366,418235,-1.42092001,53.65922165,339430808.5,97037.3568,322264,140414,41640,50597,23340,17568,50597,2.3
293,E08000020,Gateshead,Gateshead,420168,559658,-1.6868,54.93119812,143007476.4,71733.81599,197726,89154,29313,31486,14011,10277,31486,2.2
294,E09000001,City of London,City of London,532382,181358,-0.09351,51.51564026,2927690.238,7742.809624,7187,4385,2472,1356,339,153,1356,1.6
295,E09000002,Barking and Dagenham,Barking and Dagenham,547759,185107,0.12950601,51.54552078,36229484.06,32927.71255,184901,69681,19215,18641,12616,10516,18641,2.7
296,E09000003,Barnet,Barnet,523472,191753,-0.21821,51.61108017,86960293.44,44364.63167,352597,135916,37957,38861,23078,21249,38861,2.6
297,E09000004,Bexley,Bexley,549202,175433,0.146212,51.45820999,60858259.8,40110.79342,230902,92604,25789,28734,15633,14650,28734,2.5
298,E09000005,Brent,Brent,519615,186468,-0.27568001,51.56441116,43362537.11,35111.83234,308895,110286,30616,26666,19007,16509,26666,2.8
299,E09000006,Bromley,Bromley,542036,165708,0.039246,51.37266922,149735522.3,67571.09842,307023,130862,40815,41993,21331,18166,41993,2.3
300,E09000007,Camden,Camden,527492,184284,-0.16289,51.5430603,21312899.76,23418.78687,212443,97534,39531,28215,13085,10245,28215,2.2
301,E09000008,Croydon,Croydon,533922,164745,-0.07761,51.36597824,86964656.04,51255.92826,360230,145010,43043,43020,25094,20435,43020,2.5
302,E09000009,Ealing,Ealing,517057,181960,-0.31406999,51.52442932,55404782.59,42970.30681,334725,124082,35329,31666,21170,19108,31666,2.7
303,E09000010,Enfield,Enfield,532829,196197,-0.08147,51.64888,82368063.38,38674.03416,310066,119916,33359,33792,20930,19313,33792,2.6
304,E09000011,Greenwich,Greenwich,542508,175881,0.050108,51.46395874,47511413.04,41524.3673,249991,101045,32370,28490,16256,13828,28490,2.5
305,E09000012,Hackney,Hackney,534560,185787,-0.06045,51.5549202,19195007.49,23103.89513,244433,101690,35635,28827,16124,11336,28827,2.4
306,E09000013,Hammersmith and Fulham,Hammersmith and Fulham,523866,177998,-0.21736,51.48736954,16850097.7,22162.22625,180652,80590,30148,24049,11863,9029,24049,2.2
307,E09000014,Haringey,Haringey,531262,189349,-0.10667,51.58771133,29982504.08,26410.15383,253236,101955,32524,29431,16563,12753,29431,2.5
308,E09000015,Harrow,Harrow,515356,189736,-0.33603001,51.59466934,50479360.27,31799.66436,236970,84268,19008,23449,14861,15376,23449,2.8
309,E09000016,Havering,Havering,555032,187514,0.235368,51.56518936,112555973.1,58239.19955,235671,97199,28215,31228,16132,14344,31228,2.4
310,E09000017,Hillingdon,Hillingdon,508166,183120,-0.44182,51.53662872,115959959.5,57368.12705,267227,100214,25290,29274,17348,16715,29274,2.7
311,E09000018,Hounslow,Hounslow,512744,174965,-0.37843999,51.46242905,56992523.37,51745.74969,251961,94902,25985,26019,16929,14224,26019,2.7
312,E09000019,Islington,Islington,531158,184647,-0.10992,51.54547882,15056945.2,18960.9194,200134,93556,36240,30161,13394,8400,30161,2.1
313,E09000020,Kensington and Chelsea,Kensington and Chelsea,525757,179053,-0.18976,51.49644089,11967210.06,18807.505,155939,78536,36524,22823,8855,6348,22823,2
314,E09000021,Kingston upon Thames,Kingston upon Thames,519508,167389,-0.28367001,51.39295959,37290006.61,34497.90761,156358,63639,18198,19807,10964,9719,19807,2.5
315,E09000022,Lambeth,Lambeth,531118,175626,-0.11385,51.46442032,26566492.44,31072.05385,300101,130017,44691,39789,21164,14670,39789,2.3
316,E09000023,Lewisham,Lewisham,537889,173344,-0.01733,51.44231033,35526418.15,34379.808,273342,116091,39680,34220,17931,14707,34220,2.4
317,E09000024,Merton,Merton,526069,169507,-0.18866999,51.41056824,37378437.75,29195.05836,198217,78757,22294,23958,13311,11747,23958,2.5
318,E09000025,Newham,Newham,540721,183327,0.027369,51.53131866,36468218.67,28588.85182,306009,101519,26536,22164,16502,15211,22164,3
319,E09000026,Redbridge,Redbridge,543512,189478,0.070085,51.58589172,56167762.7,40979.96605,277323,99105,25228,25902,16873,16194,25902,2.8
320,E09000027,Richmond upon Thames,Richmond upon Thames,519005,172648,-0.28913999,51.44033051,58287204.77,47620.51513,184098,79835,26008,25479,12428,11198,25479,2.3
321,E09000028,Southwark,Southwark,533945,175863,-0.07309,51.46588898,28819249.3,30167.67661,282560,120422,40307,36090,20904,13688,36090,2.3
322,E09000029,Sutton,Sutton,527356,163640,-0.17227,51.3575592,44257621.57,35049.46356,188695,78174,23749,23697,13350,11593,23697,2.4
323,E09000030,Tower Hamlets,Tower Hamlets,536345,181451,-0.0364,51.51552963,19652343.42,24338.78418,250343,101257,35047,30440,13223,10124,30440,2.5
324,E09000031,Waltham Forest,Waltham Forest,537327,190277,-0.01881,51.59460831,38925040.92,29759.38829,256615,96861,28756,24330,16875,14428,24330,2.6
325,E09000032,Wandsworth,Wandsworth,525152,174137,-0.20021001,51.45238876,35074999.07,34828.57699,301648,130493,42106,43894,19970,15575,43894,2.3
326,E09000033,Westminster,Westminster,528268,180871,-0.15295,51.51221085,21561271.65,24259.09963,213208,105772,47893,31340,12507,8301,31340,2
327,S12000005,Clackmannanshire,Clackmannanshire,291159,696335,-3.7534399,56.14723969,159238733.2,82983.59344,50439,22734,7313,8149,3631,2585,8149,2.2
328,S12000006,Dumfries and Galloway,Dumfries and Galloway,270645,579857,-4.02862978,55.09621811,6435691530,846168.7706,149341,67980,22124,25469,9557,7585,25469,2.2
329,S12000008,East Ayrshire,East Ayrshire,255398,624935,-4.29056978,55.49673843,1271164363,297420.0861,121306,53919,17125,18736,8895,6643,18736,2.2
330,S12000010,East Lothian,East Lothian,354854,672351,-2.72434998,55.94207001,679932424.4,163939.738,97819,42905,13139,15190,6739,5742,15190,2.3
331,S12000011,East Renfrewshire,East Renfrewshire,251929,653115,-4.36059999,55.74868011,173955621.6,82277.99094,89988,37225,11239,11485,5869,5979,11485,2.4
332,S12000013,Na h-Eileanan Siar,Na h-Eileanan Siar,126473,932862,-6.65721989,58.19937897,3064380742,2289958.241,27318,12576,4679,4051,1841,1280,4051,2.2
333,S12000014,Falkirk,Falkirk,289661,679536,-3.77060008,55.99604034,296505115.5,127024.1298,154192,68732,21788,24102,11193,8561,24102,2.2
334,S12000015,Fife,Fife,339197,704726,-2.98235011,56.23117065,1325236958,285586.9761,357440,160952,51239,58921,24700,18600,58921,2.2
335,S12000017,Highland,Highland,241026,858306,-4.66091013,57.586689,26138186064,3715066.601,228364,102091,32378,37460,15135,11740,37460,2.2
336,S12000018,Inverclyde,Inverclyde,227922,670899,-4.75387001,55.90034866,161900134.2,66864.50468,80261,37434,14394,11297,5775,4322,11297,2.1
337,S12000019,Midlothian,Midlothian,330088,659217,-3.1173799,55.82110977,354719591.6,117013.0246,82257,34978,9593,12697,6018,4752,12697,2.4
338,S12000020,Moray,Moray,328024,843593,-3.20186996,57.47682953,2238802516,376515.2161,91203,40062,12053,14894,5937,5033,14894,2.3
339,S12000021,North Ayrshire,North Ayrshire,228984,651640,-4.7247901,55.72787857,884146153.7,291343.356,136609,62498,21610,21513,9446,6976,21513,2.2
340,S12000023,Orkney Islands,Orkney Islands,348291,1006584,-2.90028,58.9433403,1008116113,905733.6724,21151,9725,3351,3522,1297,1076,3522,2.2
341,S12000024,Perth and Kinross,Perth and Kinross,284304,744186,-3.88479996,56.57529068,5382619587,546001.8459,142139,64777,20875,24439,9239,7283,24439,2.2
342,S12000026,Scottish Borders,Scottish Borders,345891,626135,-2.85865998,55.52593994,4740847709,456342.6771,112589,52498,18043,19547,6963,5745,19547,2.1
343,S12000027,Shetland Islands,Shetland Islands,434516,1180307,-1.37344003,60.50495148,1451110179,1458969.758,22981,9950,3189,3430,1387,1238,3430,2.3
344,S12000028,South Ayrshire,South Ayrshire,226544,596270,-4.72901011,55.23006821,1224358501,272658.2801,111270,51286,17380,18513,7486,5720,18513,2.2
345,S12000029,South Lanarkshire,South Lanarkshire,284634,636071,-3.83272004,55.60453033,1774943438,260464.1702,310501,139188,46648,46026,22556,17483,46026,2.2
346,S12000030,Stirling,Stirling,255980,708769,-4.32595015,56.24953079,2255003268,309825.7101,85874,37566,11505,13294,5850,4926,13294,2.3
347,S12000033,Aberdeen City,Aberdeen City,387763,808478,-2.20397997,57.1669693,185554298.9,102800.4708,214243,103371,39219,35942,14620,9787,35942,2.1
348,S12000034,Aberdeenshire,Aberdeenshire,352286,816276,-2.79204988,57.23468018,6316882541,622753.5311,250471,104714,27728,38132,17034,15496,38132,2.4
349,S12000035,Argyll and Bute,Argyll and Bute,200740,715442,-5.22113991,56.28942871,6982549741,2654229.378,85694,40125,14273,14619,5210,4141,14619,2.1
350,S12000036,City of Edinburgh,City of Edinburgh,320193,669416,-3.27825999,55.91119003,263770918.5,95782.02361,462334,223051,87176,74692,30484,21888,74692,2.1
351,S12000038,Renfrewshire,Renfrewshire,239305,664698,-4.56833982,55.84862137,261411609.5,98782.99195,172717,80902,31226,24691,12156,9439,24691,2.1
352,S12000039,West Dunbartonshire,West Dunbartonshire,242904,681587,-4.52074003,56.00141144,176923676.3,83019.12713,90028,42167,16163,12947,6552,4704,12947,2.1
353,S12000040,West Lothian,West Lothian,299483,668514,-3.60909009,55.89920044,429677640.7,121056.8309,173312,73398,20911,24941,12939,10535,24941,2.4
354,S12000041,Angus,Angus,345518,759594,-2.89189005,56.72480011,2185314163,279464.0187,114445,51616,16587,18888,7550,6228,18888,2.2
355,S12000042,Dundee City,Dundee City,340291,732145,-2.97094989,56.4776001,59430430.33,43296.89808,142101,69193,27955,22424,9779,6309,22424,2.1
356,S12000044,North Lanarkshire,North Lanarkshire,277984,665608,-3.95140004,55.86814117,471681167.6,147724.4652,335317,145998,46842,46659,25225,19317,46659,2.3
357,S12000045,East Dunbartonshire,East Dunbartonshire,261240,676154,-4.22417021,55.9582901,174471580.1,89710.12318,104431,43473,12333,14287,7254,6963,14287,2.4
358,S12000046,Glasgow City,Glasgow City,261534,667033,-4.21478987,55.87649155,175623375.1,110072.084,578251,285693,123236,86701,39174,24253,86701,2
359,W06000001,Isle of Anglesey,Ynys Mon,245222,378346,-4.32290983,53.27944946,713618284.6,245229.7196,68941,30594,9888,10941,4380,3541,10941,2.3
360,W06000002,Gwynedd,Gwynedd,277968,334967,-3.8155899,52.89825821,2550405543,480301.9685,117974,52473,18548,17299,6990,5954,17299,2.2
361,W06000003,Conwy,Conwy,283293,362562,-3.74645996,53.14738846,1131229634,224811.8851,112531,51177,17297,18668,6881,5529,18668,2.2
362,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.08832932,837267108.6,202985.0024,92483,40546,12714,14668,5783,4890,14668,2.3
