area_id,total,daytype_inweek,daytype_weekend,hod_00h,hod_01h,hod_02h,hod_03h,hod_04h,hod_05h,hod_06h,hod_07h,hod_08h,hod_09h,hod_10h,hod_11h,hod_12h,hod_13h,hod_14h,hod_15h,hod_16h,hod_17h,hod_18h,hod_19h,hod_20h,hod_21h,hod_22h,hod_23h,dow_mon,dow_tue,dow_wed,dow_thu,dow_fri,dow_sat,dow_sun
E07000195,9.85714285714,57.25,14.75,0.25,0.142857142857,0.0,0.0714285714286,0.107142857143,0.357142857143,1.17857142857,0.892857142857,0.892857142857,0.642857142857,0.607142857143,0.428571428571,0.392857142857,0.535714285714,0.535714285714,0.642857142857,0.678571428571,0.357142857143,0.25,0.392857142857,0.178571428571,0.214285714286,0.107142857143,0.0,11.25,13.25,12.25,11.25,9.25,8.25,3.5
E07000010,17.6428571429,95.5,31.25,0.535714285714,0.321428571429,0.178571428571,0.142857142857,0.178571428571,0.321428571429,0.571428571429,0.571428571429,0.785714285714,0.821428571429,0.75,0.5,0.785714285714,1.25,1.32142857143,1.10714285714,1.39285714286,1.28571428571,1.53571428571,1.0,0.714285714286,1.21428571429,0.285714285714,0.0714285714286,17.0,16.75,21.25,19.5,21.0,13.75,14.25
E07000150,16.7857142857,92.5,28.25,0.0,0.142857142857,0.0,0.0714285714286,0.428571428571,2.14285714286,1.0,1.35714285714,0.785714285714,0.857142857143,0.714285714286,0.892857142857,0.928571428571,0.678571428571,0.785714285714,1.28571428571,1.10714285714,0.75,0.535714285714,0.571428571429,1.17857142857,0.357142857143,0.178571428571,0.0357142857143,13.25,17.0,23.25,20.0,19.0,10.0,15.0
S12000021,2.96428571429,16.75,6.25,0.0,0.0357142857143,0.0,0.0357142857143,0.0,0.0,0.25,0.107142857143,0.0714285714286,0.178571428571,0.214285714286,0.178571428571,0.178571428571,0.321428571429,0.142857142857,0.321428571429,0.285714285714,0.107142857143,0.321428571429,0.0714285714286,0.0,0.107142857143,0.0357142857143,0.0,3.25,2.25,4.25,2.75,4.25,1.0,3.0
E07000036,60.4285714286,337.5,91.5,0.535714285714,0.178571428571,0.285714285714,0.428571428571,1.10714285714,1.57142857143,3.57142857143,4.28571428571,2.71428571429,2.53571428571,3.39285714286,3.78571428571,3.85714285714,3.35714285714,4.03571428571,4.60714285714,5.28571428571,3.92857142857,3.57142857143,2.03571428571,1.35714285714,1.71428571429,1.89285714286,0.392857142857,53.0,68.5,82.5,69.5,64.0,47.0,38.5
E08000017,81676.3214286,431306.25,139127.5,348.464285714,409.714285714,320.285714286,312.785714286,411.964285714,1105.35714286,1701.21428571,3244.21428571,4138.10714286,4363.92857143,5097.17857143,5649.67857143,6025.85714286,5979.0,6059.82142857,5841.32142857,6080.71428571,5999.39285714,5097.92857143,4253.46428571,3509.67857143,2785.03571429,1926.96428571,1014.25,76997.0,85032.5,104298.5,79894.5,85083.75,78297.5,62130.5
E06000018,180.857142857,994.75,293.5,0.785714285714,0.857142857143,0.392857142857,0.857142857143,2.10714285714,8.03571428571,19.8571428571,15.4285714286,9.75,8.46428571429,10.25,9.75,8.53571428571,9.07142857143,8.25,10.3571428571,13.7142857143,10.1428571429,7.0,7.21428571429,6.75,8.10714285714,4.42857142857,0.75,167.5,216.25,232.25,188.75,190.0,145.25,126.0
E08000014,24.8571428571,138.75,48.25,0.178571428571,0.178571428571,0.178571428571,0.25,0.464285714286,1.25,1.0,0.928571428571,1.75,1.21428571429,1.14285714286,1.28571428571,1.5,1.53571428571,2.67857142857,3.57142857143,1.57142857143,1.64285714286,1.25,0.607142857143,0.357142857143,0.178571428571,0.0714285714286,0.0714285714286,26.25,20.75,29.0,34.5,28.25,13.25,22.0
E07000047,1.25,5.75,1.25,0.0357142857143,0.0,0.0357142857143,0.0357142857143,0.107142857143,0.0357142857143,0.0357142857143,0.0357142857143,0.0,0.142857142857,0.0357142857143,0.142857142857,0.0357142857143,0.0357142857143,0.0714285714286,0.0357142857143,0.0357142857143,0.0357142857143,0.0714285714286,0.107142857143,0.107142857143,0.0,0.0357142857143,0.0357142857143,0.5,0.75,2.5,0.75,1.25,2.25,0.75
E06000031,90.2857142857,480.75,161.0,1.5,1.21428571429,0.571428571429,0.75,1.5,3.07142857143,5.46428571429,5.25,6.14285714286,4.85714285714,6.46428571429,4.75,6.07142857143,5.60714285714,6.03571428571,5.67857142857,6.96428571429,5.21428571429,4.32142857143,3.71428571429,2.17857142857,1.39285714286,1.35714285714,0.214285714286,87.0,99.75,111.75,80.25,102.0,77.25,74.0
